year,week,SAN JOSE,ALAJUELA,HEREDIA,SAN CARLOS,PUNTARENAS,DESAMPARADOS,CARTAGO,PEREZ ZELEDON,POCOCI,MONTES DE OCA,LIBERIA,GOICOECHEA,LIMON,SANTA CRUZ,GARABITO,SIQUIRRES,SAN RAMON,NICOYA,QUEPOS,CURRIDABAT,TURRIALBA,LA UNION,TIBAS,OSA,TALAMANCA,ESCAZU,SARAPIQUI,MATINA,CORREDORES,ALAJUELITA,GOLFITO,MORAVIA,UPALA,GRECIA,SANTA ANA,SAN RAFAEL,GUACIMO,VASQUEZ DE CORONADO,CARRILLO,SANTO DOMINGO,OROTINA,BUENOS AIRES,ASERRI,PARAISO,COTO BRUS,PARRITA,BARVA,ESPARZA,LOS CHILES,BELEN,EL GUARCO,SANTA BARBARA,OREAMUNO,PURISCAL,SAN PABLO,PALMARES,ATENAS,FLORES,NARANJO,CANAS,POAS,BAGACES,LA CRUZ,MORA,ABANGARES,TILARAN,SAN ISIDRO,GUATUSO,JIMENEZ,MONTES DE ORO,TARRAZU,ALVARADO,ACOSTA,LEON CORTES,SAN MATEO,VALVERDE VEGA,RIO CUARTO,NANDAYURE,HOJANCHA,TURRUBARES,ZARCERO,DOTA,MONTEVERDE
2015,35,159,64,51,32,33,22,33,35,30,23,34,17,24,18,14,17,17,16,25,5,23,20,20,6,16,12,11,19,16,14,12,7,12,9,11,13,6,10,17,6,4,2,9,11,5,9,6,4,3,3,4,7,8,8,8,5,3,4,4,9,0,5,3,6,3,5,2,3,2,1,1,3,2,2,1,0,0,1,2,1,1,1,0
2015,36,144,77,45,45,38,35,54,32,18,24,24,20,18,18,18,10,14,16,21,19,20,28,21,8,8,16,18,12,22,10,7,9,8,6,9,9,15,2,5,12,10,5,7,8,7,11,8,5,7,3,4,2,4,5,5,2,5,1,2,8,1,7,3,3,3,2,2,6,0,5,3,1,1,0,1,1,0,0,0,2,2,1,0
2015,37,135,75,47,25,41,29,43,25,38,19,24,25,27,20,21,21,17,18,9,15,13,21,7,5,8,16,11,17,14,8,10,15,12,13,13,9,7,3,7,10,4,3,8,13,7,10,9,6,4,11,6,6,13,9,6,2,3,3,2,4,5,6,0,3,2,2,1,7,1,3,3,2,2,1,1,0,0,3,2,2,1,0,0
2015,38,166,67,42,52,29,23,41,33,53,15,25,25,16,18,18,14,15,10,25,8,18,23,3,10,11,11,17,16,31,6,11,11,15,14,3,9,12,7,9,14,12,11,8,10,5,12,4,8,5,3,8,6,6,2,3,3,1,4,2,9,1,3,3,4,1,2,5,2,2,1,4,2,0,0,3,0,0,0,0,1,1,1,0
2015,39,163,61,26,44,37,36,33,28,27,19,30,17,20,19,18,20,11,17,25,21,13,10,15,17,6,20,20,7,13,12,12,4,14,5,6,11,6,3,10,9,11,6,5,4,3,4,2,5,10,6,7,3,3,9,4,6,5,4,0,10,0,7,0,3,2,4,8,2,1,6,4,2,1,0,2,1,0,0,0,1,2,0,0
2015,40,188,67,51,48,41,42,40,43,37,21,29,27,21,16,17,21,17,15,14,7,11,14,16,7,10,11,18,10,14,10,7,12,15,15,3,5,16,6,9,4,7,7,6,8,7,3,4,8,5,4,12,4,4,5,8,2,9,2,6,3,5,2,2,4,4,9,4,5,3,1,2,1,1,2,1,0,0,2,1,0,1,3,0
2015,41,149,60,37,32,33,35,39,22,34,24,18,31,18,17,31,16,16,13,21,14,14,10,5,7,14,16,14,14,11,19,5,13,7,10,11,7,5,6,10,9,10,6,3,9,7,6,1,6,3,9,8,1,5,2,5,5,4,2,2,9,5,3,4,3,0,4,4,1,0,4,0,0,2,1,2,1,0,0,1,0,2,2,0
2015,42,169,73,42,47,29,32,36,35,27,11,29,27,16,13,23,13,16,17,14,21,12,9,13,8,29,13,14,9,12,11,13,5,6,12,6,10,16,11,8,8,10,14,7,12,6,5,5,5,5,5,3,6,4,3,4,1,3,1,2,5,4,5,6,2,7,2,4,4,1,0,3,1,0,0,1,1,0,0,0,1,2,2,0
2015,43,164,58,50,36,36,26,30,35,34,28,15,23,23,17,28,10,28,15,13,21,9,10,10,16,22,20,13,15,10,12,11,11,17,5,11,6,6,10,11,6,8,7,4,8,7,8,8,2,8,10,6,2,2,3,3,3,5,3,2,7,1,1,0,1,2,1,4,4,1,0,0,0,2,1,0,1,0,3,1,3,1,0,0
2015,44,182,47,39,35,20,13,37,39,27,28,17,25,22,19,12,20,22,15,13,15,16,16,17,8,7,19,11,6,8,12,13,10,15,5,9,3,13,7,12,6,19,7,7,6,4,7,8,2,3,21,7,4,3,7,6,1,8,6,5,7,1,6,2,3,4,1,1,5,1,1,1,1,0,2,2,4,0,0,2,1,2,1,0
